DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/18 09:25,20780,20780,20750,20750,118725
09/18 09:20,20810,20820,20770,20780,159826
09/18 09:15,20740,20820,20740,20820,275232
09/18 09:10,20710,20760,20690,20740,228625
09/18 09:05,20700,20740,20670,20710,302887
09/17 15:01,20700,20700,20700,20700,49662
09/17 15:00,20690,20700,20670,20690,154971
09/17 14:55,20700,20710,20690,20690,14950
09/17 14:50,20720,20720,20700,20700,86560
09/17 14:45,20710,20730,20700,20720,116519
09/17 14:40,20700,20710,20690,20710,11911
09/17 14:35,20700,20710,20690,20700,55405
09/17 14:30,20690,20710,20690,20700,54564
09/17 14:25,20710,20710,20690,20690,61059
09/17 14:20,20710,20710,20700,20710,39405
09/17 14:15,20710,20720,20690,20710,71735
09/17 14:10,20700,20730,20690,20710,91213
09/17 14:05,20660,20700,20650,20700,31809
09/17 14:00,20670,20680,20660,20660,44006
09/17 13:55,20690,20700,20670,20680,46455
09/17 13:50,20690,20710,20690,20700,20016
09/17 13:45,20700,20710,20690,20690,11803
09/17 13:40,20720,20720,20690,20700,19789
09/17 13:35,20700,20720,20700,20710,36961
09/17 13:30,20690,20700,20690,20700,20807
09/17 13:25,20700,20710,20690,20690,16702
09/17 13:20,20700,20710,20690,20690,57449
09/17 13:15,20690,20700,20690,20700,16498
09/17 13:10,20720,20730,20690,20690,73963
09/17 13:05,20700,20720,20690,20710,112821
09/17 13:00,20710,20710,20690,20700,64367
09/17 12:55,20710,20710,20690,20700,23822
09/17 12:50,20670,20720,20670,20710,118891
09/17 12:45,20670,20700,20670,20680,54385
09/17 12:40,20660,20690,20660,20670,104639
09/17 12:35,20630,20670,20580,20660,329239
09/17 11:35,20690,20700,20690,20700,25646
09/17 11:30,20690,20700,20670,20690,136889
09/17 11:25,20690,20700,20680,20690,92304
09/17 11:20,20710,20710,20690,20700,88459
09/17 11:15,20690,20720,20690,20710,88089
09/17 11:10,20700,20710,20680,20690,45382
09/17 11:05,20680,20710,20660,20700,176140
09/17 11:00,20730,20740,20670,20680,389554
09/17 10:55,20770,20770,20720,20740,121974
09/17 10:50,20800,20810,20770,20770,45132
09/17 10:45,20840,20840,20790,20800,96404
09/17 10:40,20860,20860,20830,20840,33612
09/17 10:35,20820,20880,20820,20860,124809
09/17 10:30,20820,20840,20820,20820,49473
09/17 10:25,20830,20840,20810,20820,57448
09/17 10:20,20770,20840,20760,20830,154918
09/17 10:15,20760,20770,20750,20760,17569
09/17 10:10,20770,20770,20750,20770,34607
09/17 10:05,20730,20780,20730,20770,77666
09/17 10:00,20760,20760,20740,20740,34913
09/17 09:55,20740,20760,20720,20760,58376
09/17 09:50,20770,20770,20720,20740,68857
09/17 09:45,20720,20780,20710,20770,116361
09/17 09:40,20700,20730,20700,20720,81668
09/17 09:35,20720,20720,20690,20710,88719
09/17 09:30,20690,20730,20680,20720,193454
09/17 09:25,20820,20830,20690,20700,434408
09/17 09:20,20850,20860,20820,20830,184765
09/17 09:15,20880,20880,20840,20850,154977
09/17 09:10,20870,20900,20860,20880,103328
09/17 09:05,20860,20880,20830,20870,353730
09/16 15:01,20940,20960,20940,20960,50182
09/16 15:00,20940,20940,20930,20940,89872
09/16 14:55,20950,20960,20930,20940,84239
